hz1,X1,Y1,Z1,hz2,X2,Y2,Z2,hz3,X3,Y3,Z3,hz4,X4,Y4,Z4,hz5,X5,Y5,Z5,hz6,X6,Y6,Z6
10,0.004431516,0.076215196,0,10,0,0.019998006,0,10,0,0.145367081,0.036734655,10,0.07071095,0.119363937,0.066702406,10,0,0.091879735,0,10,0.07071095,0.119363937,0.066702406
11,0.005635718,0.077203906,0.000884341,10.25,0.000321576,0.020245886,0.022667003,11,0.001137833,0.147182703,0.039338089,10.25,0.032411784,0.05592374,0.015434443,11,0.000628611,0.092697212,0.001645916,10.25,0.032411784,0.05592374,0.015434443
12,0.007015678,0.0783174,0.001888821,10.5,0.000628369,0.020510369,0.036357633,12,0.002432339,0.149207293,0.042373794,10.5,0.003760933,0.001867997,0.011105973,12,0.001342039,0.093609417,0.003560491,10.5,0.003760933,0.001867997,0.011105973
13,0.008593815,0.079566133,0.00302657,10.75,0.000947473,0.020739495,0.052230935,13,0.00390248,0.151453697,0.045914616,10.75,0.01360395,0.024678944,0,13,0.00214982,0.094621029,0.005787911,10.75,0.01360395,0.024678944,0
14,0.010397012,0.080962561,0.004313631,11,0.001271971,0.020975115,0.053043652,14,0.005572406,0.153936474,0.050055015,11,0,0.008562704,0.014670529,14,0.003064408,0.095738676,0.008384559,11,0,0.008562704,0.014670529
15,0.012459042,0.082521809,0.005769763,11.25,0.001657422,0.021222773,0.051803375,15,0.00747365,0.15667104,0.054917266,11.25,0.016090879,0.024860915,0.005688055,15,0.004101285,0.096969763,0.01142294,11.25,0.016090879,0.024860915,0.005688055
16,0.014821541,0.084262116,0.007419896,11.5,0.002026533,0.021470974,0.051353586,16,0.009648525,0.159677093,0.060662472,11.5,0.010662198,0.022317053,0.012373442,16,0.005281431,0.098322478,0.01499864,11.5,0.010662198,0.022317053,0.012373442
17,0.017537109,0.086205282,0.009295191,11.75,0.002377867,0.021757417,0.049303763,17,0.012154112,0.162975188,0.067507167,11.75,0.012538272,0.014830321,0.012523088,17,0.006632557,0.099806566,0.019238581,11.75,0.012538272,0.014830321,0.012523088
18,0.020672517,0.088378665,0.011436094,12,0.002751891,0.022021395,0.043203297,18,0.015069846,0.166593585,0.07574854,12,0.017429824,0.029025707,0.006326474,18,0.008192809,0.101434111,0.024315574,12,0.017429824,0.029025707,0.006326474
19,0.024313849,0.090816074,0.013894983,12.25,0.003125145,0.022292197,0.042927112,19,0.018509489,0.17056226,0.08580345,12.25,0.004414372,0,0.015772382,19,0.010016376,0.103219149,0.030470221,12.25,0.004414372,0,0.015772382
20,0.028573877,0.093559994,0.016741476,12.5,0.00354928,0.022572637,0.039684993,20,0.02264269,0.17491804,0.098276078,12.5,0.020041841,0.029998101,0.001794079,20,0.012182576,0.105177662,0.038046966,12.5,0.020041841,0.029998101,0.001794079
21,0.033603127,0.096664922,0.020069588,12.75,0.00397981,0.022878473,0.039168729,21,0.027731302,0.179706315,0.114071791,12.75,0.009276631,0.019665872,0.015001158,21,0.014812016,0.10732992,0.047556118,12.75,0.009276631,0.019665872,0.015001158
22,0.039606181,0.10020159,0.024010202,13,0.004390994,0.023178882,0.049859546,22,0.034200842,0.184979326,0.134606879,13,0.018699257,0.02449885,0.013272823,22,0.018097442,0.109699705,0.059785691,13,0.018699257,0.02449885,0.013272823
23,0.046869241,0.104264755,0.028749229,13.25,0.004826967,0.023480429,0.049525276,23,0.042782986,0.190804732,0.162220209,13.25,0.018365136,0.030171627,0.016944651,23,0.022365107,0.112317422,0.07601631,13.25,0.018365136,0.030171627,0.016944651
24,0.055803217,0.108982981,0.034560497,13.5,0.005264277,0.023803542,0.052356649,24,0.054826328,0.197262179,0.201026564,13.5,0.013321522,0.010320024,0.020107157,24,0.028206712,0.115218547,0.098470149,13.5,0.013321522,0.010320024,0.020107157
25,0.067021276,0.114537329,0.041861712,13.75,0.005767742,0.024138019,0.052495485,25,0.073034245,0.204455296,0.258914895,13.75,0.024321538,0.033702368,0.004737489,25,0.036796232,0.118450249,0.131354371,13.75,0.024321538,0.033702368,0.004737489
26,0.081476937,0.121191381,0.051319476,14,0.006273172,0.024473755,0.054449715,26,0.103379509,0.212515116,0.35256567,14,0.007604328,0.013949551,0.0181149,26,0.050751775,0.122070223,0.183615109,14,0.007604328,0.013949551,0.0181149
